State,Population,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Minnesota,5645866,104,69,3152,359,5202,5148,264,41,211,2712,928,94,495,6163,1252,5523,1417,889,496,111,363,1308,1979,0,7,3191,822,2219,345,99,156,631,2047,1278,10092,2539,1026,1385,901,67,1145,2649,814,4889,471,56,1464,1950,670,13688,405
Mississippi,2919574,3795,1068,676,2693,2259,1143,0,0,0,2512,2978,545,0,1835,378,110,637,1234,6704,117,81,581,783,268,0,1750,38,329,341,0,239,173,1804,830,156,746,204,264,459,0,1302,0,7328,7027,518,32,3114,822,0,85,1801
Missouri,6102443,1362,414,4226,7506,13726,5441,151,0,553,5622,2356,313,566,28457,2986,5661,21602,1565,1450,64,436,1435,1126,933,2718,0,502,2652,1684,188,1918,657,3608,4066,756,3664,3089,2222,1807,242,1645,402,2107,12919,1651,111,3594,3489,60,1804,415
Montana,1093888,370,1101,2012,185,6034,4389,609,0,0,1566,547,153,2836,466,167,20,78,0,568,96,40,243,419,1089,50,262,0,257,2481,0,0,144,325,530,472,236,76,1857,200,0,875,308,27,2671,728,90,223,6758,0,1026,1947
Nebraska,1939700,134,17,1009,7,4798,2940,0,313,0,1806,254,248,0,1463,686,6235,1629,376,463,148,0,70,374,2695,83,2097,375,0,361,0,0,141,930,444,159,551,1336,442,99,0,161,2140,462,2619,1047,0,836,715,0,873,1751
Nevada,3111722,492,960,5792,226,62437,4875,141,720,49,6372,1603,2894,1601,2577,1058,1574,354,218,244,0,494,580,3607,1530,435,2251,1178,108,0,41,787,1687,1582,1328,85,924,263,2496,1588,212,884,343,719,4317,3461,0,1635,4071,0,795,1060
New Hampshire,1377638,370,127,13,0,2984,668,1726,38,357,2758,187,37,0,542,158,96,0,0,0,2198,450,24752,0,300,388,795,198,0,553,0,538,185,4470,815,0,205,0,375,798,1314,119,0,831,1647,0,1322,837,81,0,13,0
New Jersey,9174117,246,0,456,0,8629,4712,2061,2044,926,7930,1472,350,283,2083,4098,90,206,1860,1495,654,3042,2749,2119,385,0,1601,0,207,165,540,0,717,91421,8587,274,713,527,354,29573,736,2491,290,1083,2402,154,88,2854,1498,636,988,39
New Mexico,2092251,484,254,3738,526,9947,8806,131,0,344,4563,713,82,598,1229,1508,0,244,340,1042,0,731,643,912,906,244,454,153,309,1244,100,856,0,2249,338,390,850,161,1486,516,42,264,0,518,10712,198,0,1321,6064,492,433,884
New York,19626300,1930,1036,2472,1935,31335,6112,12538,1521,3010,24444,7342,962,1007,8093,1334,1552,2595,2365,2486,1742,7749,21608,3351,2538,151,2875,558,598,1926,2045,38222,805,0,7361,0,4962,2134,1990,21804,2118,4591,292,3946,16818,1633,1366,9132,8080,643,2142,0
North Carolina,10446881,3276,1730,5929,3063,22507,6549,4741,762,653,37071,17698,1591,1520,8920,3678,1260,1105,2410,4005,1002,15645,9378,8406,2360,695,2263,233,44,2153,948,14884,631,32759,0,224,11355,1502,2443,12408,679,23541,299,7365,14240,1821,2117,29092,6676,497,2443,110
North Dakota,764638,377,445,1419,0,1525,922,47,0,0,1272,0,102,0,559,152,755,237,28,1405,66,36,246,675,15897,223,732,1020,1056,6,28,73,611,149,73,0,222,347,639,189,0,244,1423,5,2127,141,0,736,572,0,569,494
Ohio,11660200,2258,197,2770,1252,12849,2726,1166,238,363,14785,3769,715,584,11845,8028,1995,861,12704,1579,66,3329,2512,11524,2060,1048,2773,100,0,2415,1037,3192,620,11752,6084,935,0,1800,1631,14181,301,1894,603,5221,7248,1435,32,6125,3987,7629,2243,16
Oklahoma,3943443,914,264,961,7390,12613,5189,19,85,670,4484,1293,1386,853,3251,674,1109,5899,873,1915,0,914,747,1336,1054,178,3106,539,592,1734,81,310,1262,1332,1256,485,672,0,1322,805,0,1009,0,1498,27223,1043,38,1971,5754,71,2097,17
Oregon,4207387,487,318,6545,327,51623,3850,249,94,351,2683,1291,1794,6445,1551,801,235,416,164,1234,223,288,802,1839,1335,781,739,1062,371,1602,425,159,1351,4407,1079,184,1975,457,0,1381,0,591,178,781,6469,3590,108,824,18648,0,808,1020
Pennsylvania,12842522,585,917,2626,737,14867,4692,3973,6699,1825,15020,3622,1001,502,6000,2614,904,2590,1493,689,363,22793,5682,2737,890,373,2269,74,0,943,819,41402,591,49702,6008,187,10774,796,1377,0,971,2347,122,2354,9271,2876,1112,11637,6888,2650,2238,229
Rhode Island,1085539,0,241,247,0,2857,610,2753,5,76,2176,196,0,0,949,677,248,0,100,0,81,334,12826,407,160,0,29,79,0,282,1775,974,0,7321,474,575,281,298,171,1592,0,572,0,49,762,0,665,1935,311,160,18,0
South Carolina,5142137,1472,222,4696,134,11884,3873,2836,71,798,14905,14963,211,193,4040,1667,1253,341,2627,2269,0,7231,3619,1830,1816,611,1736,90,963,904,440,8294,1334,11615,34327,38,7865,913,1029,10492,155,0,76,5937,5464,652,221,12978,3147,1606,2362,0
South Dakota,884616,30,0,529,0,1670,1977,0,0,0,659,0,0,0,487,471,3399,322,103,408,0,42,0,488,4390,0,354,290,2566,325,0,336,4,230,272,716,268,0,388,956,148,54,0,138,2229,166,0,682,820,0,216,1395
Tennessee,6899165,9869,456,3625,3161,22901,5383,1462,249,281,20809,14723,2939,119,12722,6012,210,1661,7612,4785,763,2528,2782,3550,1634,6132,3595,1061,1201,1662,142,2353,38,5676,7468,91,8220,2263,1973,4222,1195,3621,1397,0,15300,934,207,9806,5955,2244,3049,550
Texas,29170380,9389,2587,17609,13613,107546,30262,2506,756,1198,31023,16781,7668,2551,20819,10573,7124,11039,4865,28130,786,8673,8639,10009,9977,6079,11369,1627,8782,7896,2012,10916,13456,24951,20142,904,11942,16116,5287,9920,14,8097,1526,10446,0,6136,178,15079,23438,348,6187,4424
Utah,3295561,436,320,8279,146,23219,3712,171,498,175,3093,1261,995,7411,1438,798,10,664,282,506,37,932,550,1233,1183,217,952,229,378,3748,0,559,2211,2918,1659,0,557,2041,2758,1159,865,725,271,2646,6078,0,683,2775,6294,0,1988,1991
Vermont,641007,94,0,101,0,1043,587,1221,41,195,1172,284,266,0,108,136,292,172,191,98,743,712,6890,650,48,0,113,70,0,143,2140,2182,106,5816,349,0,546,90,300,1242,687,209,22,336,576,229,0,0,1166,53,351,39
Virginia,8557020,1878,1532,5698,742,21052,5002,3396,1270,13211,20603,10750,2193,607,4833,3159,645,711,1926,2372,247,27855,9553,3005,1612,1051,2607,771,567,2193,1164,8963,969,13416,27640,442,5882,1311,870,14436,1604,9212,211,6574,13305,1261,483,0,6749,5564,1152,444
Washington,7657350,1064,2242,10300,782,57576,7452,1536,0,203,9637,4838,3770,9856,3956,679,394,2923,823,994,489,1723,4402,2139,2252,1051,4271,3740,853,4324,905,1709,950,5682,2499,1285,4138,2410,27282,4958,374,2444,417,1820,10737,4061,611,4452,0,299,2009,1995
West Virginia,1767792,506,0,1221,0,368,49,568,42,0,3835,558,0,0,0,468,0,0,491,493,217,6792,116,121,127,0,0,0,0,630,0,1601,0,596,1308,82,4448,86,0,5452,70,893,94,214,920,647,36,10202,279,0,271,0
Wisconsin,5838954,331,237,2859,595,6467,4412,346,0,280,5123,1797,338,305,29975,1447,2272,538,703,537,129,1358,1235,5756,20941,205,2631,191,933,432,519,942,350,2219,3296,1087,2637,572,824,1683,71,737,374,962,6893,618,79,2483,3749,44,0,230
Wyoming,573476,0,113,357,11,2605,6022,6,0,114,1541,515,15,705,1275,32,16,610,138,148,98,34,54,121,236,36,348,810,593,1128,43,10,22,956,212,24,509,0,739,260,0,24,1124,15,610,2739,0,459,1581,0,273,0
